,Temporada,round,game_id,date,fixture,team_id,team_name,team_possession,opponent_possession,place,defensive_height,high_recoveries_pct,PPDA,fouls_in_attacking_half_pct,defensive_intensity,avg_time_to_defensive_action,counter_press_Success_Rate_%,transition_vulnerability_index,opposition_final_third_entries_10s,opposition_box_entries_10s,time_to_progression_seconds,first_pass_forward_pct,final_third_entries_10s_pct,box_entries_10s_pct,retained_possessions_5s_pct,long_ball_%,buildup_%,progressive_passes_%,crosses_per_final_third_entry,dribbles_per_final_third_entry,box_entries_from_crosses,box_entries_from_carries,sustained_attacks,direct_attack,shots_per_final_third_pass,shots_outside_box
0,2024,1,1806862,2024-04-13,Criciuma 1 x 1 Juventude,2066,Criciuma,41.43,58.57,Casa,31.866,11.76,10.22,83.33,71,49.375,69.23076923076923,0.11,18,16.0,12.3,63.89,13.79,40.0,0.5294117647058824,8.74,77.78,20.25,0.157,0.0,5.08,18.52,28.57,57.14,0.08641975308641975,42.86
1,2024,1,1806862,2024-04-13,Criciuma 1 x 1 Juventude,1220,Juventude,58.57,41.43,Fora,36.615533980582526,8.57,8.622641509433961,83.33,82,36.31460674157304,44.0,0.183,9,7.0,10.46,71.17,24.0,10.0,0.6571428571428571,8.66,80.0,19.0,0.297,0.014,4.59,15.22,41.67,33.33,0.096,83.33
2,2024,1,1806916,2024-04-13,Internacional 2 x 1 Bahia,1219,Internacional,58.09,41.91,Casa,42.943636363636365,20.0,7.242857142857143,50.0,91,36.4,39.130434782608695,0.099,3,1.0,13.73,52.78,25.0,33.33,0.6571428571428571,8.84,100.0,16.11,0.368,0.029,8.25,25.64,20.0,30.0,0.08695652173913043,40.0
3,2024,1,1806916,2024-04-13,Internacional 2 x 1 Bahia,1221,Bahia,41.91,58.09,Fora,29.081818181818182,0.0,10.528301886792454,40.0,71,32.7906976744186,23.076923076923077,0.144,21,9.0,10.21,72.07,20.69,33.33,0.5625,6.0,50.0,13.36,0.178,0.022,6.82,4.0,42.86,42.86,0.109375,14.29
4,2024,1,1806858,2024-04-14,Corinthians 0 x 0 Atletico MG,1237,Corinthians,54.12,45.88,Casa,39.36630434782609,0.0,7.781818181818182,55.56,65,39.68,44.44444444444444,0.126,12,5.0,12.03,66.29,42.11,0.0,0.52,9.06,40.0,14.54,0.298,0.088,5.71,6.06,14.29,57.14,0.0958904109589041,42.86
5,2024,1,1806858,2024-04-14,Corinthians 0 x 0 Atletico MG,1235,Atletico MG,45.88,54.12,Fora,34.611999999999995,0.0,7.78,45.45,71,40.91358024691358,33.33333333333333,0.187,9,2.0,11.18,64.77,21.74,16.67,0.5862068965517241,6.27,37.5,12.5,0.12,0.08,2.56,28.57,25.0,50.0,0.05555555555555555,50.0
6,2024,1,1806859,2024-04-14,Sao Paulo 1 x 2 Fortaleza,1224,Sao Paulo,68.71,31.29,Casa,37.20729166666667,10.81,6.142857142857143,75.0,78,31.852272727272727,60.86956521739131,0.141,8,1.0,12.4,59.09,13.79,12.5,0.7027027027027027,7.23,100.0,16.74,0.282,0.029,7.56,15.56,12.5,62.5,0.05333333333333334,75.0
7,2024,1,1806859,2024-04-14,Sao Paulo 1 x 2 Fortaleza,2065,Fortaleza,31.29,68.71,Fora,27.287394957983192,2.04,14.615384615384615,75.0,88,36.191489361702125,43.75,0.125,26,7.0,8.28,65.91,29.27,12.5,0.5306122448979592,15.08,25.0,22.22,0.106,0.0,7.89,17.65,16.67,50.0,0.13953488372093023,33.33
8,2024,1,1806860,2024-04-14,Athletico Paranaense 4 x 0 Cuiaba,8938,Cuiaba,36.46,63.54,Fora,28.856565656565657,12.0,13.933333333333334,25.0,67,47.06410256410256,62.5,0.054,11,9.0,12.57,58.57,0.0,14.29,0.64,8.15,50.0,10.75,0.133,0.0,5.56,0.0,0.0,0.0,0.0,0.0
9,2024,1,1806860,2024-04-14,Athletico Paranaense 4 x 0 Cuiaba,1243,Athletico Paranaense,63.54,36.46,Casa,40.613414634146345,8.33,7.816326530612245,25.0,73,40.472972972972975,47.368421052631575,0.075,4,1.0,11.5,62.0,12.0,36.36,0.8333333333333334,7.61,100.0,14.95,0.25,0.0,6.9,21.28,7.69,30.77,0.07344632768361582,38.46
